micro_event_id,macro_segment_id,macro_label,event_label,start_idx,end_idx,start_frame,end_frame,ScenarioTime_start,ScenarioTime_end,time_start_sec,time_end_sec,duration_sec,confidence,evidence_flags,rule_reason,mean_ped_speed,min_ped_speed,max_ped_speed,mean_ped_accel,min_ped_accel,max_ped_accel,min_car_ped_distance,mean_car_ped_distance,max_distance_closing,mean_distance_closing,min_car_accel,max_abs_head_turn_rate,max_abs_head_body_yaw_diff,ped_displacement_xz,ped_path_length_xz,ped_progress_ratio,event_order,n_frames
10,2,main_movement,acceleration_burst,281,318,353.9583435058594,355.1050109863281,215809,215919,13.212401999999999,14.924804999999997,1.7124029999999983,0.86,car_braking|head_turning,positive acceleration with speed gain,1.2201414141431293,0.8131357598187368,1.4295789545216921,0.3684628750322059,-0.2033249828188465,1.0170145292810715,11.763453084989798,12.051351253726809,0.0192773750251337,0.012364217402853773,-0.5732199979658303,228.09632148198295,14.049453735351562,55.079651066178045,67.31305912154748,0.8182609999453521,2,38
11,2,main_movement,head_direction_check,293,300,354.82720947265625,356.2815856933594,215845,215866,13.738036999999998,14.062499999999998,0.3244629999999997,0.71,head_turning,head turn or head/body yaw difference,1.2982392502142899,1.2369695081811873,1.3216922097936132,0.38284375842747376,-0.1091892011334152,0.9678766682436585,12.070669706724184,12.114720927146843,0.012884681417228,0.011825961813253114,-0.0011306440991016,228.09632148198295,14.049453735351562,38.542769550223255,38.55700458364206,0.9996308055158194,3,8
12,2,main_movement,crossing_movement,313,330,355.4862060546875,352.9632873535156,215904,215955,14.688231999999998,15.505858999999997,0.8176269999999999,0.7,none,sustained walking/crossing speed,1.4235469318173202,1.414961912255898,1.433322674547509,0.004160700092524277,-0.15402685290885149,0.2308882625828587,11.571683866561653,11.707765429935064,0.0192773750251337,0.01689205458045984,-5.9280167448525526e-05,28.785045281877387,2.639434814453125,0.8120252489364423,5.5680061705429384,0.14583770636469345,4,18
13,2,main_movement,head_direction_check,349,374,353.2379455566406,353.1429748535156,216012,216087,16.407226999999995,17.535399999999996,1.1281730000000003,0.71,head_turning,head turn or head/body yaw difference; head turn or head/body yaw difference,1.3869151789370946,1.3414770484551415,1.4557337002030541,-0.21599662510597945,-0.3513050884445545,-0.040653515000284614,11.288937676887809,11.317302764258077,0.0107255409670364,0.006600860423628846,3.606726634073148e-05,207.74847157434127,11.247055053710938,53.97799874356192,53.98450847179514,0.9998794148836861,5,26
14,2,main_movement,crossing_movement,358,375,353.50714111328125,353.1574401855469,216039,216090,16.808349999999997,17.581542999999996,0.7731929999999991,0.77,head_turning,sustained walking/crossing speed,1.3346202921334918,1.3107668797811978,1.3468069384502772,-0.04221719322395275,-0.187043204877776,0.039914122480387296,11.288937676887809,11.32838702745634,0.0039068668803816,-0.005152755580256432,-0.0001141066758335,134.03289756728,11.521369934082031,35.394670476659485,47.08706786722283,0.751685591816126,6,18
15,2,main_movement,crossing_movement,381,420,353.207763671875,353.1048583984375,216108,216225,17.853026999999997,19.688964999999996,1.8359379999999987,0.7,none,sustained walking/crossing speed,1.216068883445369,1.1836317578786422,1.2578191175138693,-0.00023153186382650766,-0.1555768034965937,0.2014314612678961,11.43371065050236,11.58970539549309,-0.0061435391695283,-0.008740763011576393,-2.7291049264300843e-05,49.401401741019896,2.834747314453125,20.181899024095898,24.399321486479064,0.827150010514831,7,40
16,3,deceleration,close_interaction,462,522,349.21636962890625,348.9838562011719,216350,216529,21.793456999999997,24.617675999999996,2.8242189999999994,0.95,car_close|car_very_close|car_ped_closing|car_braking|head_turning,car-pedestrian distance below threshold,0.47658188189396283,0.1480508060002634,0.901126866390441,-0.25065198267800365,-0.5736961021176271,0.06299871331809113,7.052963392445637,8.202603370850257,0.1318003129876959,0.0033560734394901246,-1.554154815154631,197.08174933172128,9.700271606445312,148.48437816954254,162.59424018484825,0.9132204068282822,1,61
17,3,deceleration,yielding_slowing,477,496,348.9987487792969,345.5825500488281,216395,216452,22.562011999999996,23.485595999999997,0.9235840000000017,0.95,car_close|car_very_close|car_ped_closing|car_braking|head_turning,negative pedestrian acceleration,0.5116087061820671,0.30803178755056576,0.7692947344255615,-0.45620793153863215,-0.5736961021176271,-0.28463856180213604,7.052963392445637,7.360314858953075,0.117115275871948,0.05399704095905814,-1.2546774228609563,197.08174933172128,9.700271606445312,87.91884154525546,87.9598090908829,0.9995342469924519,2,20
18,3,deceleration,head_direction_check,483,494,347.3814392089844,344.8704528808594,216413,216446,22.874755999999998,23.400145999999996,0.525389999999998,0.92,car_close|car_very_close|car_braking|head_turning,head turn or head/body yaw difference,0.44978679432637847,0.3310114949572598,0.5970643218953348,-0.4898009651917266,-0.5736961021176271,-0.35597360012014123,7.052963392445637,7.185996486906259,0.0839792828673085,0.040695017388980396,-1.1511397488924011,197.08174933172128,9.700271606445312,68.48776493722094,68.50285227962748,0.9997797559969482,3,12
19,3,deceleration,head_direction_check,503,511,348.126708984375,348.0640869140625,216472,216496,23.800536999999995,24.150878999999996,0.35034200000000126,0.8500000000000001,car_close|car_braking|head_turning,head turn or head/body yaw difference,0.27605837229719116,0.2599132471292478,0.28766822634527794,0.015517279472408996,-0.09412950796567729,0.06299871331809113,7.511143582278283,7.95272035355604,-0.0858608554624532,-0.11082485907838777,-1.5491245275717975,176.85681320400164,7.13916015625,37.13322426716806,37.15112887812573,0.9995180601101945,4,9
20,3,deceleration,head_direction_check,531,546,351.3516540527344,354.2431335449219,216556,216601,25.020995999999997,25.727538999999997,0.7065429999999999,0.71,head_turning,head turn or head/body yaw difference,0.3134127417625727,0.19935026648923332,0.3790218846073445,0.1326913147527258,-0.3136919479810092,0.5200211631664375,11.057454848683877,12.209556957623857,-0.1350437120416706,-0.16269546861073775,0.23019034314888,290.7890625000005,11.980804443359377,105.4231309805269,105.43626928430932,0.999875391040753,5,16
21,3,deceleration,deceleration,567,578,353.1648254394531,352.1788635253906,216663,216696,26.833495999999997,27.407714999999996,0.5742189999999994,0.68,none,negative pedestrian acceleration,0.2242121725759194,0.12241677350453559,0.3359702303083653,-0.3368368210932962,-0.3797083763654109,-0.2598403145190982,18.80869332487078,20.46696019848389,-0.2908615311103635,-0.30566683788490095,1.114964984986866,36.32143972207767,1.5951080322265625,12.487835729876563,12.489804127592404,0.999842399632874,6,12
22,3,deceleration,stopped_low_motion,577,596,352.16265869140625,352.7716979980469,216693,216750,27.355712999999998,28.346190999999997,0.9904779999999995,0.7500000000000001,avatar_vr_gap_high,speed below stop threshold,0.07246457350929723,0.035051741042466965,0.1361111847347301,-0.11876537238058056,-0.29081884380742845,-0.0463206336543617,21.85775007102076,25.114464919080305,-0.3199974291779656,-0.35030236305077805,0.3345404364856806,57.6355266017498,3.8514251708984375,1.547883016024155,25.907866510822828,0.05974567667999748,7,20
23,3,deceleration,possible_noise_artifact,579,587,352.2339172363281,352.58868408203125,216699,216723,27.460204999999995,27.878661999999995,0.4184570000000001,0.5499999999999999,avatar_vr_gap_high,avatar and VR pedestrian position gap high,0.08547837946798817,0.06741607405077872,0.11062300485642877,-0.13531795801625057,-0.2254199655226527,-0.0850094416976219,22.50925969952331,23.859031369892957,-0.3266159160990223,-0.339274699122076,1.309690256038105,50.64392837457223,2.520660400390625,11.49199610081348,11.496332650419884,0.9996227884371244,8,9
24,4,post_movement_low_motion,stopped_low_motion,596,647,352.7716979980469,352.6264953613281,216750,216902,28.346190999999997,31.002929999999996,2.656738999999998,0.8200000000000001,car_braking|avatar_vr_gap_high,speed below stop threshold,0.03243334897469522,0.016361713717721302,0.07233236005255719,-0.00692005237772198,-0.08487291708016956,0.07597860311538354,28.55490071491833,34.87497801969017,-0.002292382591213,-0.17766375876534557,-4.214576541415124,57.6355266017498,4.1596221923828125,1.23648976076161,19.46618407218889,0.0635198843376894,1,52
