participant_id,recording_identifier,scenario,progress_percent,ped_x,ped_z,veh_x,veh_z,mean_x,mean_z,deviation_m
PedNYC11,PedNYC11_scenario12,12,51.0,-3.949611978660857,53.56679498888988,9.540594595793014,58.86228094449964,9.736661193854992,60.02040141884621,1.174599993179096
PedNYC11,PedNYC11_scenario12,12,52.0,-3.9488540045437155,53.77458332007958,9.201027674395073,59.00925058040913,9.276195098326903,60.24455522155443,1.2375894707275352
PedNYC11,PedNYC11_scenario12,12,53.0,-3.9872216393321795,53.9708345467337,8.884044346468057,59.170285879621176,8.821102246325811,60.490181581407334,1.3213956150842536
PedNYC11,PedNYC11_scenario12,12,54.0,-4.044694008307325,54.16084253035078,8.59048899115411,59.34392484403074,8.381659586023506,60.75932475157929,1.4307224114885662
PedNYC11,PedNYC11_scenario12,12,55.0,-4.072029538060852,54.33075917574104,8.322949861149743,59.53005341524882,7.965156108921817,61.05219150542086,1.5636242306532313
PedNYC11,PedNYC11_scenario12,12,56.0,-4.062684900184725,54.497599337992824,8.07709053827438,59.72924955545971,7.571109398186001,61.36710007286979,1.714226131963225
PedNYC11,PedNYC11_scenario12,12,57.0,-4.025767097471725,54.66772806246263,7.840721285744233,59.94542316044467,7.200245381244778,61.70315768268934,1.8707859404365554
PedNYC11,PedNYC11_scenario12,12,58.0,-3.9756899182322667,54.84338529171536,7.608723796422468,60.18483200402838,6.852723317309879,62.06001112542593,2.0218391285519615
PedNYC11,PedNYC11_scenario12,12,59.0,-3.947957188480999,54.998908846045495,7.3799495061125535,60.453946384595504,6.523191860441074,62.4369783694124,2.1601966383233213
PedNYC11,PedNYC11_scenario12,12,60.0,-3.9452682331519693,55.15005513882266,7.154455097839927,60.75982266368013,6.206691900134203,62.83217772179295,2.27879585874013
PedNYC11,PedNYC11_scenario12,12,61.0,-3.9623427091216255,55.300243823334085,6.934610259452651,61.10722983188669,5.902164369555165,63.2439183929818,2.373053417578476
PedNYC11,PedNYC11_scenario12,12,62.0,-3.9829908918863364,55.4556181439199,6.723245103960322,61.49985570848218,5.610336659923215,63.67267545220533,2.441251900874271
PedNYC11,PedNYC11_scenario12,12,63.0,-3.9771134719983885,55.6058995753656,6.525077993194649,61.93958114459825,5.323008303322117,64.1188609952821,2.4888214493825966
PedNYC11,PedNYC11_scenario12,12,64.0,-3.9495139131953354,55.76288217348926,6.344703099129945,62.426111004028556,5.036584843289467,64.58369321574347,2.5231596008916553
PedNYC11,PedNYC11_scenario12,12,65.0,-3.9081298618864286,55.90817875583555,6.184274368275657,62.95883281307361,4.750447566142563,65.06863845799356,2.5509094766085445
PedNYC11,PedNYC11_scenario12,12,66.0,-3.859061655643326,56.05970325878633,6.043474174777909,63.5335382737684,4.468189414784446,65.56657805099579,2.571920063076698
PedNYC11,PedNYC11_scenario12,12,67.0,-3.8297448667270118,56.198632399956445,5.925104712477364,64.14225903959914,4.197012734630596,66.06812201576122,2.587518132661145
PedNYC11,PedNYC11_scenario12,12,68.0,-3.823183354843041,56.37250577111787,5.8296060220594255,64.7771896166936,3.944866358070973,66.58073324633746,2.6086420270018333
PedNYC11,PedNYC11_scenario12,12,69.0,-3.839552031997594,56.52606371733618,5.749360394523732,65.43193711628732,3.715882901097408,67.12537958409787,2.6462762720577215
PedNYC11,PedNYC11_scenario12,12,70.0,-3.864702366184007,56.696113076381344,5.679582700316031,66.09808025418701,3.5107432505636527,67.69482272677698,2.6932231772682558
PedNYC11,PedNYC11_scenario12,12,71.0,-3.868379732338561,56.824728809084,5.619695323147975,66.76887519668209,3.328472411742039,68.28497860698805,2.747411869467855
PedNYC11,PedNYC11_scenario12,12,72.0,-3.847162515519543,56.996477617764334,5.570561187750123,67.4388168843611,3.1623891388086274,68.9065016802853,2.820175752943447
PedNYC11,PedNYC11_scenario12,12,73.0,-3.80914406731655,57.1573801169963,5.534039934918959,68.10401951855201,3.0108253256011794,69.56086106194198,2.913588723073582
PedNYC11,PedNYC11_scenario12,12,74.0,-3.7804517973912675,57.27920400155985,5.509986776821344,68.76493995509898,2.8731001237263833,70.24976074418016,3.0261962918750016
PedNYC11,PedNYC11_scenario12,12,75.0,-3.7644096125141338,57.413673162492174,5.498537271672209,69.41897323799125,2.7511154316043696,70.9700878986686,3.15504095977373
PedNYC11,PedNYC11_scenario12,12,76.0,-3.7673443763435244,57.601252431479686,5.499067112281651,70.06646344639033,2.6485434314250207,71.73561803677298,3.303265399830884
PedNYC11,PedNYC11_scenario12,12,77.0,-3.7830829211080754,57.75934186617906,5.511240986211039,70.71098189371243,2.5707857203909934,72.55377376160092,3.470181412929992
PedNYC11,PedNYC11_scenario12,12,78.0,-3.7963420554034077,57.9086113599031,5.535040539003384,71.35639199379696,2.5064543638527406,73.390750484684,3.6484172855853276
PedNYC11,PedNYC11_scenario12,12,79.0,-3.7857688915225483,58.0955089733624,5.567823763889761,72.01064022318423,2.4528930771397404,74.22718292311575,3.823068757408985
PedNYC11,PedNYC11_scenario12,12,80.0,-3.7542520303080233,58.24967346839193,5.605371001021322,72.67939371582032,2.408499749361579,75.04937993483972,3.979550285902966
PedNYC11,PedNYC11_scenario12,12,81.0,-3.7108829594622486,58.389594947237704,5.643083010357661,73.36841593468175,2.368308445556665,75.8430779257391,4.1046437628923975
PedNYC11,PedNYC11_scenario12,12,82.0,-3.6535282418182398,58.561113224464805,5.677863895696391,74.08287452175438,2.328955323315088,76.6028567152043,4.191121434827873
PedNYC11,PedNYC11_scenario12,12,83.0,-3.6216530643257796,58.73580065314786,5.706660401123506,74.82291182452646,2.2918853785983626,77.3374849981854,4.240727142854963
PedNYC11,PedNYC11_scenario12,12,84.0,-3.6132042554060453,58.91593822782989,5.727971358375878,75.59054319499245,2.262278322869643,78.05150763926059,4.25057339806154
PedNYC11,PedNYC11_scenario12,12,85.0,-3.6190917532854208,59.09385354342957,5.741967495398724,76.38322097695043,2.2405849283075856,78.73938537830341,4.220330622988298
PedNYC11,PedNYC11_scenario12,12,86.0,-3.6187013491857494,59.23596449735303,5.748630849616874,77.19889280366591,2.240607211049289,79.36257556513357,4.12162018398363
PedNYC11,PedNYC11_scenario12,12,87.0,-3.601398764045158,59.419782663307174,5.749569952351548,78.03584082458434,2.2458056181248423,79.92032240692816,3.9783960768118845
PedNYC11,PedNYC11_scenario12,12,88.0,-3.568082220049873,59.59752126700392,5.745695361760726,78.8760743798401,2.2558098990027897,80.42013712917431,3.8162062728645405
PedNYC11,PedNYC11_scenario12,12,89.0,-3.5341052882195263,59.74462793732252,5.736811918285577,79.70391355513452,2.261968674024913,80.84642963737438,3.6578516331804254
PedNYC11,PedNYC11_scenario12,12,90.0,-3.5143974932916904,59.8881925265453,5.723553242367678,80.51003939534691,2.2657773512810104,81.21323884730525,3.528555452620053
PedNYC11,PedNYC11_scenario12,12,91.0,-3.5130680731876818,60.025179128603675,5.708450222534406,81.29309065301551,2.269287207500214,81.53530645185099,3.4476819367778955
PedNYC11,PedNYC11_scenario12,12,92.0,-3.524866699374043,60.15539514057519,5.692935804717668,82.035943566294,2.272877634208354,81.82192764078226,3.4267478322806535
PedNYC11,PedNYC11_scenario12,12,93.0,-3.538460937301307,60.26891145391088,5.677654435957442,82.70823473497941,2.276270857982402,82.08157546392341,3.458628642470701
PedNYC11,PedNYC11_scenario12,12,94.0,-3.535596421715972,60.37097845877972,5.66426945188798,83.27926773879686,2.279591689071795,82.32097120609274,3.5177230992070885
PedNYC11,PedNYC11_scenario12,12,95.0,-3.5136300939377536,60.46947390465283,5.653310079560308,83.75134700805603,2.2826748088406736,82.53645376779066,3.582896553552964
PedNYC11,PedNYC11_scenario12,12,96.0,-3.474675768426424,60.55718055665811,5.644838598237236,84.11534721426655,2.285409157183181,82.72531480281403,3.6356507360181443
PedNYC11,PedNYC11_scenario12,12,97.0,-3.438167082275972,60.626976006296935,5.638753043593441,84.37584738508788,2.28793688764587,82.88645323736631,3.666914757425719
PedNYC11,PedNYC11_scenario12,12,98.0,-3.420191459744295,60.682703929943536,5.635010590192495,84.53718067485636,2.2904799665480953,83.02040692480422,3.6723953628854322
PedNYC11,PedNYC11_scenario12,12,99.0,-3.4181447059853447,60.72153823683406,5.633436106615292,84.60561050124312,2.29315418468445,83.12843682711289,3.6523314994016354
PedNYC11,PedNYC11_scenario12,12,100.0,-3.4257285594940186,60.74896240234375,5.633349418640137,84.6098861694336,2.165416012207667,83.5742031733195,3.6192818873210433
PedNYC12,PedNYC12_scenario12,12,0.0,-4.887775897979736,45.4268798828125,43.223445892333984,58.496315002441406,49.71087803038519,58.21886866836355,6.493362165635986
PedNYC12,PedNYC12_scenario12,12,1.0,-4.859979987417376,45.48689604309192,42.26501366979977,58.49916147095252,48.81154167601853,58.22203667144088,6.552390944587396
PedNYC12,PedNYC12_scenario12,12,2.0,-4.841847253490946,45.59121317924108,41.30367768429972,58.502854451225765,47.899549641264926,58.226024529765546,6.601678701519461
PedNYC12,PedNYC12_scenario12,12,3.0,-4.836227391527862,45.724656233538305,40.33908164731108,58.50733355432037,46.97607816037263,58.23084442743293,6.642753115363999
PedNYC12,PedNYC12_scenario12,12,4.0,-4.8267295253975355,45.856090953664406,39.37228124573677,58.512302633401696,46.03776523118833,58.235631171228775,6.67122356530585
PedNYC12,PedNYC12_scenario12,12,5.0,-4.802005920082607,45.97781525645152,38.40279276259594,58.517325590349515,45.082804449089096,58.24113517646439,6.685718904980012
PedNYC12,PedNYC12_scenario12,12,6.0,-4.758743779602771,46.10155289097699,37.430749159372645,58.52210454405273,44.109915970367936,58.24688368349451,6.684834763192536
PedNYC12,PedNYC12_scenario12,12,7.0,-4.688593108247848,46.24051721025376,36.457480209864116,58.52591914083657,43.12826137257003,58.25136525943814,6.676428772517761
PedNYC12,PedNYC12_scenario12,12,8.0,-4.61510211238374,46.39126989118742,35.48271871652332,58.52877862028826,42.13297447199011,58.25438884094464,6.6559140141777196
PedNYC12,PedNYC12_scenario12,12,9.0,-4.562656067126091,46.55934483440497,34.50814909174673,58.53060671621762,41.130803373103205,58.257312109930595,6.6282908560348215
PedNYC12,PedNYC12_scenario12,12,10.0,-4.534579250844167,46.735822144784116,33.53534519451642,58.53136618836575,40.12522966015949,58.25923090649846,6.595501109253253
