recording_identifier,pednyc_number,scenario_number,median_pedestrian_speed,peak_pedestrian_speed,median_positive_acceleration,median_deceleration_magnitude,low_motion_proportion,stop_start_count,recording_duration,head_rotation_event_count,median_absolute_head_rotation_rate,minimum_pedestrian_vehicle_distance,vehicle_speed_at_movement_onset,vehicle_deceleration_around_movement_onset,median_closing_speed
PedNYC7_scenario21,7,21,0.0857310126192608,1.3507075826262829,0.0601785748630799,0.0574917003801694,0.5548270104966965,5.0,51.066162,3.0,11.36939833065195,6.219540348604608,1.2255386028498332,-0.262611538431148,0.0243557526012677
PedNYC8_scenario3,8,3,0.2391020419357144,1.696817835032701,0.1315285045033861,0.1221571714222759,0.375982636849118,4.0,38.261719,1.0,20.646015954735915,9.711762257119789,0.0832853292232984,0.3706821457467865,0.0521531519834661
PedNYC8_scenario7,8,7,0.7743030541955043,1.6436995850232925,0.1842388263166545,0.1703671207095338,0.1396730848782724,3.0,33.364746,2.0,14.197870979054846,2.636327572143692,0.0005170104257714,0.0164373369833103,0.0739773988633369
PedNYC8_scenario12,8,12,0.2507740427252494,1.4020276546546389,0.1623559378291388,0.1269490592501849,0.4033892048313394,5.0,33.856201,0.0,17.406964764558698,10.695220331379652,5.894159524916729,-0.071877086485338,0.1143193630758977
PedNYC8_scenario15,8,15,0.2657317930707338,1.6190918622454795,0.1780256741031777,0.1359737820209796,0.3386800190320172,5.0,37.168945,1.0,17.30151192186216,3.340186957500836,0.0003425622224254,0.0029661336884939,0.0691290905359907
PedNYC8_scenario16,8,16,0.2573030225081383,1.788742893130291,0.1849255128116388,0.1793346507458643,0.2791884918578166,5.0,25.824707,1.0,33.983145780046414,8.887328765428748,1.1659012814261462,0.7004792817715159,0.0822544594237205
PedNYC9_scenario3,9,3,0.3452649788630472,1.5995282729249078,0.1408691369463122,0.1685873649301901,0.1225487847348679,5.0,35.14624,2.0,31.037313115199275,7.439809041195897,3.5410771238826184,2.314631842082264,0.053327755514934
PedNYC9_scenario7,9,7,0.6456167859109991,1.402242530317556,0.0891922681124825,0.1253647903287861,0.3424473014548085,6.0,31.453003,3.0,21.194913848935464,5.923901682917435,5.704811744503817,0.7548236409468495,0.1321267808743415
PedNYC9_scenario12,9,12,0.6274402380392838,1.3905734111606334,0.1718581014873593,0.1386017810906012,0.3420589614891494,7.0,30.413818,2.0,29.335148069288994,10.605958154456776,3.6196401134968266,-0.4557624547449507,0.140428625613691
PedNYC9_scenario15,9,15,0.8801898924394486,1.5426984565334392,0.1270040732582435,0.1338479600087063,0.2571145299504979,3.0,25.093506,1.0,21.55652578589629,6.996455471508616,5.310450291469019,0.7623839251946011,0.0374965257946592
PedNYC9_scenario16,9,16,0.2350922453678393,1.4565609907150563,0.160468717171008,0.1562243273449179,0.4303213440465521,5.0,21.325928,1.0,22.414519208395483,6.035950695522357,6.361027784901316,-0.4339754786447302,0.1742167628784944
PedNYC9_scenario21,9,21,0.7837238590155764,1.814250525236612,0.1553082464084942,0.1461571589296898,0.2776666770023223,3.0,29.541748,1.0,12.40511439908057,3.002670968380716,4.846604645596932,-0.2460512256129336,0.0192178174822797
PedNYC10_scenario3,10,3,0.358453189169624,1.4405006994873402,0.0796481306758251,0.1099056201857677,0.4215808989713757,9.0,40.81665,3.0,24.62266907190127,5.590719754308289,6.879882642526294,1.514370232282374,0.0070804435648732
PedNYC10_scenario7,10,7,0.4650108777518808,1.4636917853269191,0.1355238957311923,0.1235802752044356,0.2230560169318607,3.0,32.924438,1.0,23.593656862269004,5.043276178684204,4.466717008121072,1.4081544588886,0.0617604357263484
PedNYC10_scenario16,10,16,0.0490067047775909,1.0784522730918678,0.0536825114029159,0.0394020235335594,0.7537953730625939,2.0,25.585693,0.0,12.265551721268649,6.172413806161122,9.666180601256746,0.0483587448513596,0.0205301170092455
PedNYC11_scenario3,11,3,0.6729590934561788,1.1998343367195805,0.1099519952205974,0.115009377940837,0.2058215591941345,3.0,38.288574,4.0,20.36044962501865,2.28973431920942,4.825270445354835,0.6787313876653275,0.0117989979122662
PedNYC11_scenario7,11,7,0.6172346245537759,1.15901304130836,0.0705008988483166,0.0529576972083886,0.319668185065095,1.0,38.849487,2.0,8.11596511314625,4.264084264837053,6.306038449187728,0.4656206059428994,0.0089223707019756
PedNYC11_scenario12,11,12,0.2844384007140802,1.2940997787479902,0.0471775193539198,0.0508329675391014,0.462872156985735,0.0,31.668457,1.0,6.515053095379851,12.265601401313717,5.293434546976161,0.1570363337181127,0.1098280908393804
PedNYC11_scenario15,11,15,0.1191596928650964,1.1068485150242076,0.0573910608356278,0.0642506461445562,0.5262562820919127,3.0,52.461426,1.0,8.752352153753339,2.803193491796727,3.3983713486663785,-0.5478507643372594,0.0280053523272858
PedNYC11_scenario16,11,16,0.2737733884814807,1.391205022664566,0.1105526574139371,0.0901734321093821,0.4367456543521264,4.0,27.16626,0.0,8.158714436459231,6.944910669006511,4.352189391937574,-0.7758949591758202,0.0340793830093439
PedNYC11_scenario21,11,21,0.2376454864570797,1.3246525542538214,0.1069254211569428,0.1189563313770609,0.3478775493207552,8.0,38.591309,2.0,16.97629961415971,3.5823025114151417,4.055265523604422,-0.2342039870634033,0.0023973791872096
PedNYC12_scenario3,12,3,0.6763767659230842,1.2888809078789525,0.1066253141472731,0.0997046478942076,0.3112450319660233,3.0,35.649414,2.0,16.880192221159337,4.183717156624798,6.459658252531678,0.1402433069111543,-0.0010204160486653
PedNYC12_scenario7,12,7,0.4893524480757879,1.5906710249795604,0.1574822982633674,0.1282801305914164,0.3273879943009918,6.0,32.385986,2.0,26.787339510031032,2.683702861149543,4.895928510957994,0.2474868112338129,0.1351443620119846
PedNYC12_scenario12,12,12,0.5817310425084014,1.5416199294702997,0.1111648564359301,0.1196376828545176,0.4478918757725971,6.0,31.065674,3.0,26.321764905116098,11.515924402531295,5.832189112503489,0.1137876638256018,0.1249938697519878
PedNYC12_scenario15,12,15,0.4000305742303823,1.4117884811946564,0.1554709901206171,0.1376734350793073,0.2966450667075397,5.0,40.235107,2.0,21.094693380795302,3.868106897112203,1.5258067442781318e-05,7.144154349718857e-05,0.0343408256817721
PedNYC12_scenario16,12,16,0.0910717150741109,1.3458893828863052,0.0917239896228269,0.099152542606711,0.5841780470011266,5.0,24.880127,1.0,15.172719293823755,7.554971907441465,6.039420686788571,0.2950367392524504,0.0540284006934233
PedNYC12_scenario21,12,21,0.1337254716120503,1.7171226972651177,0.1020854334983277,0.0905225150915641,0.5043806375932225,4.0,40.405762,3.0,16.544127047234714,3.7010000675492702,4.559570988826408,0.4930713116560998,0.0061683780397376
PedNYC13_scenario3,13,3,0.3728827759411177,1.470161236052955,0.108067965724509,0.1138183223489556,0.407019076213103,3.0,37.864014,0.0,12.334389779457204,8.136149099435535,4.965938567803944,-0.2213025862289245,0.0330555544056514
