recording_a,recording_b,category,euclidean_distance,cosine_similarity
PedNYC1_scenario3,PedNYC13_scenario3,same_scenario_different_participant,2.6112069826332265,0.7108410514561003
PedNYC1_scenario3,PedNYC13_scenario7,different_scenario_different_participant,3.9516015813823304,0.045189232850088246
PedNYC1_scenario3,PedNYC13_scenario12,different_scenario_different_participant,3.499306040986355,0.5995994192537175
PedNYC1_scenario3,PedNYC13_scenario15,different_scenario_different_participant,4.987675982024206,-0.265947067058935
PedNYC1_scenario3,PedNYC13_scenario16,different_scenario_different_participant,4.632071923738133,-0.31362934165787415
PedNYC1_scenario3,PedNYC13_scenario21,different_scenario_different_participant,4.244939930045797,-0.21411682687918754
PedNYC1_scenario3,PedNYC15_scenario3,same_scenario_different_participant,3.831567724775213,0.3186662877676689
PedNYC1_scenario3,PedNYC15_scenario12,different_scenario_different_participant,5.658595812128986,-0.45940740797102375
PedNYC1_scenario3,PedNYC15_scenario15,different_scenario_different_participant,4.477221333579598,-0.2481713249425641
PedNYC1_scenario3,PedNYC15_scenario16,different_scenario_different_participant,5.835335030740823,-0.08121678131614574
PedNYC1_scenario3,PedNYC16_scenario3,same_scenario_different_participant,5.267810645846703,-0.16722073046239339
PedNYC1_scenario3,PedNYC16_scenario12,different_scenario_different_participant,4.632776483662661,-0.2889849297660636
PedNYC1_scenario3,PedNYC16_scenario15,different_scenario_different_participant,4.521982348825755,-0.14372099164000307
PedNYC1_scenario3,PedNYC16_scenario16_CSV_Scenario_Ped_16_Session_temp_2024_03_14_17_07_34_decoded,different_scenario_different_participant,9.724448709299708,-0.21387530866171356
PedNYC1_scenario3,PedNYC16_scenario16_CSV_Scenario_Ped_16_Session_temp_2024_03_14_17_08_25_decoded,different_scenario_different_participant,4.063780158911803,0.1244811324948829
PedNYC1_scenario3,PedNYC16_scenario21_CSV_Scenario_Ped_21_Session_temp_2024_03_14_17_39_35_decoded,different_scenario_different_participant,4.737834543513584,0.1171235543387833
PedNYC1_scenario3,PedNYC16_scenario21_CSV_Scenario_Ped_21_Session_temp_2024_03_14_17_40_50_decoded,different_scenario_different_participant,4.61812107981793,-0.23463881409181075
PedNYC1_scenario3,PedNYC17_scenario3,same_scenario_different_participant,5.293375410769553,-0.10639987778922588
PedNYC1_scenario3,PedNYC17_scenario7,different_scenario_different_participant,8.103737135585849,0.06099010726743426
PedNYC1_scenario3,PedNYC17_scenario15,different_scenario_different_participant,5.116164142862916,0.10276175188038006
PedNYC1_scenario3,PedNYC17_scenario16,different_scenario_different_participant,5.958343896134239,0.04428968068536576
PedNYC1_scenario3,PedNYC17_scenario21,different_scenario_different_participant,5.2914183448715475,-0.04653104649446149
PedNYC1_scenario3,PedNYC18_scenario7,different_scenario_different_participant,3.416627363732595,0.5586532657090751
PedNYC1_scenario3,PedNYC18_scenario12,different_scenario_different_participant,4.6381379073871924,0.11362150860175635
PedNYC1_scenario3,PedNYC18_scenario21,different_scenario_different_participant,3.090109782801727,0.46954000139167784
PedNYC1_scenario3,PedNYC19_scenario3,same_scenario_different_participant,4.827200635493857,-0.08667889677267482
PedNYC1_scenario3,PedNYC19_scenario7,different_scenario_different_participant,5.968668988381326,-0.341886920945764
PedNYC1_scenario3,PedNYC19_scenario12,different_scenario_different_participant,5.2981394473284285,-0.2072051014719074
PedNYC1_scenario3,PedNYC19_scenario15,different_scenario_different_participant,4.734647469689315,0.038681669279864495
PedNYC1_scenario3,PedNYC19_scenario16,different_scenario_different_participant,4.294889237543178,0.08446643556231226
