scenario_number,subsequence,length,recordings,prevalence
7,deceleration -> possible_hesitation -> crossing_commitment,3,1,0.043478260869565216
7,crossing_commitment -> low_motion -> crossing_commitment,3,1,0.043478260869565216
7,low_motion -> crossing_commitment -> possible_hesitation,3,1,0.043478260869565216
7,acceleration -> crossing_commitment -> possible_hesitation,3,1,0.043478260869565216
7,possible_hesitation -> crossing_commitment -> deceleration,3,1,0.043478260869565216
7,crossing_commitment -> deceleration -> possible_hesitation,3,1,0.043478260869565216
7,possible_hesitation -> crossing_commitment -> acceleration,3,1,0.043478260869565216
12,deceleration -> low_motion,2,22,0.8461538461538461
12,head_check -> acceleration,2,4,0.15384615384615385
12,crossing_commitment -> acceleration,2,24,0.9230769230769231
12,crossing_commitment -> deceleration,2,25,0.9615384615384616
12,deceleration -> acceleration,2,16,0.6153846153846154
12,low_motion -> head_check,2,15,0.5769230769230769
12,head_check -> low_motion,2,21,0.8076923076923077
12,acceleration -> crossing_commitment,2,26,1.0
12,crossing_commitment -> deceleration -> low_motion,3,16,0.6153846153846154
12,head_check -> low_motion -> head_check,3,3,0.11538461538461539
12,deceleration -> acceleration -> crossing_commitment,3,12,0.46153846153846156
12,crossing_commitment -> acceleration -> crossing_commitment,3,23,0.8846153846153846
12,crossing_commitment -> deceleration -> acceleration,3,14,0.5384615384615384
12,acceleration -> crossing_commitment -> acceleration,3,22,0.8461538461538461
12,head_check -> acceleration -> crossing_commitment,3,3,0.11538461538461539
12,acceleration -> crossing_commitment -> deceleration,3,22,0.8461538461538461
12,low_motion -> head_check -> acceleration,3,2,0.07692307692307693
12,deceleration -> crossing_commitment,2,15,0.5769230769230769
12,acceleration -> low_motion,2,8,0.3076923076923077
12,low_motion -> acceleration,2,24,0.9230769230769231
12,acceleration -> low_motion -> acceleration,3,5,0.19230769230769232
12,crossing_commitment -> deceleration -> crossing_commitment,3,12,0.46153846153846156
12,deceleration -> crossing_commitment -> deceleration,3,8,0.3076923076923077
12,head_check -> low_motion -> acceleration,3,16,0.6153846153846154
12,low_motion -> acceleration -> low_motion,3,6,0.23076923076923078
12,low_motion -> acceleration -> crossing_commitment,3,23,0.8846153846153846
12,possible_hesitation -> low_motion,2,8,0.3076923076923077
12,acceleration -> possible_hesitation,2,3,0.11538461538461539
12,acceleration -> possible_hesitation -> low_motion,3,2,0.07692307692307693
12,low_motion -> acceleration -> possible_hesitation,3,3,0.11538461538461539
12,possible_hesitation -> low_motion -> head_check,3,1,0.038461538461538464
12,low_motion -> head_check -> low_motion,3,13,0.5
12,acceleration -> deceleration,2,12,0.46153846153846156
12,acceleration -> deceleration -> crossing_commitment,3,5,0.19230769230769232
12,crossing_commitment -> acceleration -> deceleration,3,10,0.38461538461538464
12,low_motion -> possible_hesitation,2,5,0.19230769230769232
12,possible_hesitation -> acceleration,2,2,0.07692307692307693
12,head_check -> low_motion -> possible_hesitation,3,2,0.07692307692307693
12,possible_hesitation -> acceleration -> crossing_commitment,3,2,0.07692307692307693
12,low_motion -> possible_hesitation -> acceleration,3,1,0.038461538461538464
12,crossing_commitment -> possible_yielding,2,5,0.19230769230769232
12,possible_yielding -> crossing_commitment,2,4,0.15384615384615385
12,crossing_commitment -> low_motion,2,5,0.19230769230769232
12,crossing_commitment -> possible_yielding -> crossing_commitment,3,3,0.11538461538461539
12,acceleration -> deceleration -> low_motion,3,8,0.3076923076923077
12,crossing_commitment -> low_motion -> head_check,3,1,0.038461538461538464
12,low_motion -> acceleration -> deceleration,3,5,0.19230769230769232
12,deceleration -> low_motion -> acceleration,3,7,0.2692307692307692
12,possible_yielding -> crossing_commitment -> acceleration,3,1,0.038461538461538464
12,deceleration -> crossing_commitment -> acceleration,3,9,0.34615384615384615
12,deceleration -> acceleration -> low_motion,3,1,0.038461538461538464
12,acceleration -> crossing_commitment -> possible_yielding,3,5,0.19230769230769232
12,acceleration -> crossing_commitment -> low_motion,3,2,0.07692307692307693
12,acceleration -> deceleration -> acceleration,3,5,0.19230769230769232
12,acceleration -> possible_yielding,2,2,0.07692307692307693
12,possible_yielding -> acceleration,2,2,0.07692307692307693
12,crossing_commitment -> possible_yielding -> acceleration,3,1,0.038461538461538464
12,acceleration -> possible_yielding -> crossing_commitment,3,1,0.038461538461538464
12,possible_yielding -> acceleration -> possible_yielding,3,1,0.038461538461538464
12,possible_yielding -> crossing_commitment -> deceleration,3,2,0.07692307692307693
12,acceleration -> low_motion -> head_check,3,2,0.07692307692307693
12,crossing_commitment -> head_check,2,4,0.15384615384615385
12,head_check -> crossing_commitment,2,2,0.07692307692307693
12,deceleration -> head_check,2,2,0.07692307692307693
12,head_check -> crossing_commitment -> deceleration,3,2,0.07692307692307693
12,crossing_commitment -> deceleration -> head_check,3,1,0.038461538461538464
12,crossing_commitment -> head_check -> crossing_commitment,3,2,0.07692307692307693
12,deceleration -> head_check -> crossing_commitment,3,1,0.038461538461538464
12,acceleration -> crossing_commitment -> head_check,3,3,0.11538461538461539
12,deceleration -> crossing_commitment -> low_motion,3,1,0.038461538461538464
12,head_check -> possible_hesitation,2,1,0.038461538461538464
12,deceleration -> possible_hesitation,2,3,0.11538461538461539
12,low_motion -> head_check -> possible_hesitation,3,1,0.038461538461538464
12,deceleration -> acceleration -> deceleration,3,6,0.23076923076923078
12,deceleration -> possible_hesitation -> low_motion,3,2,0.07692307692307693
12,acceleration -> deceleration -> possible_hesitation,3,2,0.07692307692307693
12,head_check -> possible_hesitation -> low_motion,3,1,0.038461538461538464
12,possible_hesitation -> low_motion -> acceleration,3,7,0.2692307692307692
12,low_motion -> possible_hesitation -> low_motion,3,4,0.15384615384615385
12,crossing_commitment -> head_check -> low_motion,3,1,0.038461538461538464
12,deceleration -> crossing_commitment -> head_check,3,1,0.038461538461538464
12,possible_yielding -> deceleration,2,2,0.07692307692307693
12,crossing_commitment -> possible_yielding -> deceleration,3,1,0.038461538461538464
12,possible_yielding -> deceleration -> crossing_commitment,3,1,0.038461538461538464
12,crossing_commitment -> head_check -> acceleration,3,1,0.038461538461538464
12,possible_hesitation -> low_motion -> possible_hesitation,3,1,0.038461538461538464
12,deceleration -> low_motion -> possible_hesitation,3,2,0.07692307692307693
12,deceleration -> acceleration -> possible_yielding,3,1,0.038461538461538464
12,possible_yielding -> deceleration -> low_motion,3,1,0.038461538461538464
12,acceleration -> possible_yielding -> deceleration,3,1,0.038461538461538464
12,possible_hesitation -> crossing_commitment,2,1,0.038461538461538464
12,low_motion -> possible_yielding,2,2,0.07692307692307693
12,possible_hesitation -> deceleration,2,2,0.07692307692307693
12,deceleration -> possible_hesitation -> deceleration,3,1,0.038461538461538464
12,possible_yielding -> acceleration -> crossing_commitment,3,1,0.038461538461538464
12,deceleration -> possible_hesitation -> crossing_commitment,3,1,0.038461538461538464
12,low_motion -> possible_yielding -> acceleration,3,1,0.038461538461538464
12,deceleration -> low_motion -> possible_yielding,3,1,0.038461538461538464
12,possible_hesitation -> deceleration -> low_motion,3,2,0.07692307692307693
12,possible_hesitation -> crossing_commitment -> deceleration,3,1,0.038461538461538464
12,crossing_commitment -> deceleration -> possible_hesitation,3,1,0.038461538461538464
12,crossing_commitment -> low_motion -> acceleration,3,2,0.07692307692307693
12,possible_yielding -> crossing_commitment -> low_motion,3,1,0.038461538461538464
12,crossing_commitment -> possible_hesitation,2,2,0.07692307692307693
12,possible_yielding -> low_motion,2,2,0.07692307692307693
12,possible_hesitation -> possible_yielding,2,1,0.038461538461538464
12,possible_hesitation -> possible_yielding -> low_motion,3,1,0.038461538461538464
12,possible_hesitation -> acceleration -> low_motion,3,1,0.038461538461538464
12,possible_yielding -> low_motion -> acceleration,3,2,0.07692307692307693
12,deceleration -> crossing_commitment -> possible_hesitation,3,1,0.038461538461538464
12,crossing_commitment -> possible_hesitation -> acceleration,3,1,0.038461538461538464
12,acceleration -> crossing_commitment -> possible_hesitation,3,2,0.07692307692307693
12,crossing_commitment -> possible_hesitation -> possible_yielding,3,1,0.038461538461538464
12,acceleration -> possible_hesitation -> acceleration,3,1,0.038461538461538464
12,possible_hesitation -> acceleration -> deceleration,3,1,0.038461538461538464
