participant_id,recording_identifier,scenario,progress_percent,ped_x,ped_z,veh_x,veh_z
PedNYC27,PedNYC27_scenario21,21,80.0,-2.4620392322540283,51.560916900634766,1.7994929644709006,61.6577461058465
PedNYC27,PedNYC27_scenario21,21,81.0,-2.4629676404373,51.56290384361426,1.6786352121050439,61.212620009151635
PedNYC27,PedNYC27_scenario21,21,82.0,-2.4572261164706504,51.56552965635867,1.5152020669651267,60.818147172113605
PedNYC27,PedNYC27_scenario21,21,83.0,-2.448587232496337,51.568264975442254,1.336331164005374,60.487149309840156
PedNYC27,PedNYC27_scenario21,21,84.0,-2.4309219510576,51.57824643211638,1.174385987858319,60.25745768788306
PedNYC27,PedNYC27_scenario21,21,85.0,-2.400934409601793,51.6059931140756,1.04551543972553,60.09833268716302
PedNYC27,PedNYC27_scenario21,21,86.0,-2.3919200985949334,51.66518565109048,0.9440942568282524,59.98415903157321
PedNYC27,PedNYC27_scenario21,21,87.0,-2.4242727104374513,51.711773072898296,0.8513344660014007,59.886844811182684
PedNYC27,PedNYC27_scenario21,21,88.0,-2.4587891483251902,51.72358271626721,0.7673305474840628,59.80396731899054
PedNYC27,PedNYC27_scenario21,21,89.0,-2.460736523632164,51.71898437073099,0.6919518756103477,59.73294455263365
PedNYC27,PedNYC27_scenario21,21,90.0,-2.4589023440825692,51.716799743400145,0.6240245326011065,59.67192305275887
PedNYC27,PedNYC27_scenario21,21,91.0,-2.456049702813932,51.72369022507765,0.5494963697074238,59.608600108665776
PedNYC27,PedNYC27_scenario21,21,92.0,-2.454645381079353,51.73540154380613,0.44946800444139007,59.52810612739109
PedNYC27,PedNYC27_scenario21,21,93.0,-2.451607483142286,51.744262760415104,0.31460415487438254,59.425548189793986
PedNYC27,PedNYC27_scenario21,21,94.0,-2.438936740001619,51.74628081551051,0.13379130037740725,59.2974615129029
PedNYC27,PedNYC27_scenario21,21,95.0,-2.3901122688413325,51.744417049195604,-0.1016862396680211,59.143012327241905
PedNYC27,PedNYC27_scenario21,21,96.0,-2.3383779368796693,51.74994015399264,-0.3976150582927593,58.97261303389529
PedNYC27,PedNYC27_scenario21,21,97.0,-2.315493752468052,51.71986030355373,-0.7476371717047497,58.79593316002444
PedNYC27,PedNYC27_scenario21,21,98.0,-2.3083601933095808,51.64257224714252,-1.1049278638663829,58.640034143927224
PedNYC27,PedNYC27_scenario21,21,99.0,-2.3013716553058607,51.55494988115725,-1.4459659052188416,58.51433440323767
