participant_id,recording_identifier,scenario,original_interaction_duration,data_quality_flags,pedestrian_mean_path_deviation,pedestrian_median_path_deviation,pedestrian_maximum_path_deviation,pedestrian_progress_at_maximum_deviation,pedestrian_path_length,vehicle_mean_path_deviation,vehicle_median_path_deviation,vehicle_maximum_path_deviation,vehicle_progress_at_maximum_deviation,vehicle_path_length
PedNYC22,PedNYC22_scenario21,21,30.667419,,1.9487669041755007,2.073335176265648,3.7907122194359704,69.0,18.369616875652504,11.819481095501798,11.003273285877635,23.395168838819348,76.0,74.57673354728047
PedNYC23,PedNYC23_scenario21,21,34.375975999999994,,3.1370831801180055,2.8831393697696774,6.456028388478625,55.0,19.878950228425115,6.311576933400042,5.080124224007513,15.497164531057196,90.0,63.647986346241495
PedNYC24,PedNYC24_scenario21,21,31.584227999999996,,1.3968468228638418,1.0483549849599048,3.254511358362922,51.0,19.42609747243258,21.969863454344033,21.172677575394438,39.882982858304075,66.0,69.11538214105317
PedNYC25,PedNYC25_scenario21,21,27.334595,,2.212290586322299,2.1690411725770273,3.9116382974474173,68.0,20.39756424326156,5.085107563911302,4.965323371433962,12.509962900395283,100.0,67.08686171123263
PedNYC26,PedNYC26_scenario21,21,18.500487999999997,,1.6241005786312952,1.7850508073963425,2.614749449397643,66.0,17.115597110044675,13.382343714216793,13.415639017037314,17.536853960416817,75.0,63.32084393058027
PedNYC27,PedNYC27_scenario21,21,28.833740000000002,,2.181151432522162,2.2878941610410557,3.8222260746394743,68.0,19.43433772775855,10.491397758621245,10.376004028066877,17.79649857259838,99.0,44.85280119510871
PedNYC28,PedNYC28_scenario21,21,18.541992999999998,,0.836943771178283,0.6540970164198183,2.0665547480821416,59.0,18.52718757884271,8.58883521094465,6.23775312241238,19.837232352934763,99.0,34.62848039157301
PedNYC29,PedNYC29_scenario21,21,38.168091000000004,,2.922754717902719,2.681093848615587,5.840245331215153,59.0,22.190175626865845,4.952539373735445,3.885900569782789,14.566522685545548,89.0,68.00398785219997
PedNYC2,PedNYC2_scenario21,21,18.15918,robust_outlier:vehicle_maximum_path_deviation,0.7633433660937615,0.7699264581158857,1.5263898741508943,98.0,16.761241858362823,34.949629112947676,34.50786975114933,59.70752427426669,81.0,99.50483400483844
PedNYC30,PedNYC30_scenario21,21,43.98413,,4.1453338129451085,3.8197594728080255,7.901878136821367,52.0,21.684296593350805,14.078011728945905,13.533856056692693,26.033597245139216,66.0,70.5721397138827
PedNYC3,PedNYC3_scenario21,21,35.761292000000005,,1.8402986672108503,1.6114526475818753,3.9991511716630437,21.0,20.037992640461468,6.895926018563636,5.4160083287161305,17.98942969852226,7.0,87.28641437254095
PedNYC4,PedNYC4_scenario21,21,29.284424,,1.8948035380703991,1.717907383628353,3.932350801800829,69.0,19.22974225751472,5.219667802489979,3.2418754693571383,15.218602433091016,92.0,47.74866998589741
PedNYC5,PedNYC5_scenario21,21,19.525146,,0.8860891194178692,0.7285646983456856,2.4847476296827615,100.0,19.667915543013002,9.191077593313052,10.637822658061529,13.688349973381646,18.0,37.97739288415937
PedNYC6,PedNYC6_scenario21_CSV_Scenario_Ped_21_Session_temp_2024_03_01_11_17_48_decoded,21,8.589111,robust_outlier:pedestrian_maximum_path_deviation;robust_outlier:vehicle_maximum_path_deviation;robust_outlier:pedestrian_path_length;robust_outlier:vehicle_path_length,10.130592494293188,10.702792615003863,17.48616630306617,99.0,0.3822413728454079,47.49153634939729,51.319713878327136,60.269251852657135,100.0,4.956884413127144
PedNYC6,PedNYC6_scenario21_CSV_Scenario_Ped_21_Session_temp_2024_03_01_11_18_30_decoded,21,20.385742999999998,,0.8681214994161023,0.8962316208944673,1.567034829209089,93.0,19.10106123972664,5.999776007216761,2.5471569388518804,17.013824635490515,99.0,41.745271674214244
PedNYC7,PedNYC7_scenario21,21,30.950194999999997,,2.4617102555358077,2.38690810952138,4.895525441988287,58.0,18.729270620645913,5.672784230912257,5.511937069260683,10.172490341238522,18.0,62.25202828850077
PedNYC9,PedNYC9_scenario21,21,20.168456999999997,,1.1214751721719511,0.7294242677543502,3.0472057520980687,63.0,18.599180339818396,7.00117367229179,7.940624887126211,11.792009558005594,75.0,69.33577671829111
