pednyc_number,scenario_number,recording_identifier,source_csv_path,availability_status,processing_status,failure_exclusion_reason
21,21,PedNYC21_scenario21,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc21\scenario21\decoded_clean_PedNYC21_scenario21.csv,available,failed,Excluded: smoothed pedestrian speed exceeds configured 8 m/s spike threshold
22,3,PedNYC22_scenario3,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc22\scenario3\decoded_clean_PedNYC22_scenario3.csv,available,success,
22,7,PedNYC22_scenario7,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc22\scenario7\decoded_clean_PedNYC22_scenario7.csv,available,success,
22,12,PedNYC22_scenario12,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc22\scenario12\decoded_clean_PedNYC22_scenario12.csv,available,success,
22,15,PedNYC22_scenario15,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc22\scenario15\decoded_clean_PedNYC22_scenario15.csv,available,success,
22,16,PedNYC22_scenario16,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc22\scenario16\decoded_clean_PedNYC22_scenario16.csv,available,success,
22,21,PedNYC22_scenario21,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc22\scenario21\decoded_clean_PedNYC22_scenario21.csv,available,success,
23,3,PedNYC23_scenario3,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc23\scenario3\decoded_clean_PedNYC23_scenario3.csv,available,success,
23,7,PedNYC23_scenario7,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc23\scenario7\decoded_clean_PedNYC23_scenario7.csv,available,success,
23,12,PedNYC23_scenario12,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc23\scenario12\decoded_clean_PedNYC23_scenario12.csv,available,success,
23,15,PedNYC23_scenario15,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc23\scenario15\decoded_clean_PedNYC23_scenario15.csv,available,success,
23,16,PedNYC23_scenario16,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc23\scenario16\decoded_clean_PedNYC23_scenario16.csv,available,success,
23,21,PedNYC23_scenario21,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc23\scenario21\decoded_clean_PedNYC23_scenario21.csv,available,success,
24,3,PedNYC24_scenario3,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc24\scenario3\decoded_clean_PedNYC24_scenario3.csv,available,success,
24,7,PedNYC24_scenario7,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc24\scenario7\decoded_clean_PedNYC24_scenario7.csv,available,failed,"ValueError: validation failed: {'valid': False, 'row_count': 897, 'column_count': 3, 'missing_required': ['time', 'ped_x', 'ped_z', 'veh_x', 'veh_z'], 'empty_required': [], 'duplicate_columns': []}"
24,12,PedNYC24_scenario12,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc24\scenario12\decoded_clean_PedNYC24_scenario12.csv,available,success,
24,15,PedNYC24_scenario15,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc24\scenario15\decoded_clean_PedNYC24_scenario15.csv,available,success,
24,16,PedNYC24_scenario16,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc24\scenario16\decoded_clean_PedNYC24_scenario16.csv,available,success,
