participant_id,pednyc_number,scenario,recording_identifier,scenario_time,aligned_time,ped_x,ped_z,veh_x,veh_z,ped_speed,veh_speed,ped_acceleration,veh_acceleration
PedNYC10,10,16,PedNYC10_scenario16,3.466553,-10.987915000000001,8.159429550170898,47.346710205078125,-4.011753082275391,114.6919403076172,0.009159514071856044,2.4099710693642677,-0.007447255509696018,1.1948867084955859
PedNYC10,10,16,PedNYC10_scenario16,3.507446,-10.947022,8.159430503845215,47.347259521484375,-3.909492015838623,114.6907196044922,0.008343779224068341,2.4625784627182785,0.00697408912608908,1.0920133080306882
PedNYC10,10,16,PedNYC10_scenario16,3.549438,-10.90503,8.159431457519531,47.34761428833008,-3.8029818534851074,114.68930053710938,0.0081741042282936,2.5065287291488634,0.028280737100050187,0.9236382791706356
PedNYC10,10,16,PedNYC10_scenario16,3.591431,-10.863037,8.159431457519531,47.34783172607422,-3.695334434509277,114.68763732910156,0.007971442306381258,2.5397998095633145,0.053682511402915904,0.8029183471676679
PedNYC10,10,16,PedNYC10_scenario16,3.633789,-10.820679,8.159431457519531,47.34797286987305,-3.5852832794189453,114.68568420410156,0.011036294745291799,2.5646024215143637,0.08167837802023983,0.6838616721589357
PedNYC10,10,16,PedNYC10_scenario16,3.674316,-10.780152000000001,8.159431457519531,47.34805679321289,-3.479680061340332,114.68345642089844,0.013980168039950705,2.5822594586177234,0.11430541909057929,0.5126373844024648
PedNYC10,10,16,PedNYC10_scenario16,3.715088,-10.73938,8.159141540527344,47.34783172607422,-3.3732333183288574,114.68087768554688,0.01873826289268664,2.592221269977722,0.14165143281099868,0.35080947467674967
PedNYC10,10,16,PedNYC10_scenario16,3.755859,-10.698609000000001,8.158799171447754,47.34754180908203,-3.266834259033203,114.67791748046876,0.026610706467411132,2.5963208523248023,0.17917194683005314,0.20315563466007383
PedNYC10,10,16,PedNYC10_scenario16,3.79895,-10.655518,8.157907485961914,47.34634017944336,-3.1543943881988525,114.6743392944336,0.03726302264248254,2.596821432276163,0.2029483911509602,0.07254489206634422
PedNYC10,10,16,PedNYC10_scenario16,3.841431,-10.613037,8.156991958618164,47.34497833251953,-3.0439610481262207,114.6703872680664,0.0494044642867161,2.5915650449623437,0.21342789214700397,-0.026195806043034474
PedNYC10,10,16,PedNYC10_scenario16,3.882813,-10.571655,8.155851364135742,47.34294891357422,-2.9368438720703125,114.6661376953125,0.06285620422055739,2.5826470900724035,0.230591968104334,-0.12023074135604027
PedNYC10,10,16,PedNYC10_scenario16,3.923096,-10.531372000000001,8.154586791992188,47.34001541137695,-2.8332762718200684,114.66151428222656,0.07389853902762543,2.5703612601770036,0.24234620346436034,-0.20363983834904972
PedNYC10,10,16,PedNYC10_scenario16,3.963501,-10.490967000000001,8.153035163879395,47.336238861083984,-2.729635000228882,114.65632629394533,0.08976871887749667,2.556715371383774,0.24044106379489813,-0.27234834994508
PedNYC10,10,16,PedNYC10_scenario16,4.005127,-10.449341,8.15141487121582,47.33184051513672,-2.6236042976379395,114.65038299560548,0.10048742374412757,2.5404777391868305,0.22505893195685667,-0.32590616155737867
PedNYC10,10,16,PedNYC10_scenario16,4.064453,-10.390015,8.14940357208252,47.3248176574707,-2.474052906036377,114.6407470703125,0.10703988687239532,2.52304496922896,0.20812176550783856,-0.37569085717185763
PedNYC10,10,16,PedNYC10_scenario16,4.105225,-10.349243000000001,8.148334503173828,47.32052993774414,-2.372358798980713,114.6332550048828,0.1176879335622292,2.5047449869756133,0.18461900729773595,-0.4107296119671839
PedNYC10,10,16,PedNYC10_scenario16,4.146851,-10.307617,8.147333145141602,47.31420516967773,-2.2691454887390137,114.62478637695312,0.12609373781240485,2.48468898495182,0.14791304897539348,-0.4403297144630444
PedNYC10,10,16,PedNYC10_scenario16,4.187744,-10.266724,8.146682739257812,47.30887985229492,-2.16877555847168,114.6156768798828,0.13000897773088338,2.463773691396325,0.12128181615103507,-0.4579068643071614
PedNYC10,10,16,PedNYC10_scenario16,4.232422,-10.222046,8.146232604980469,47.30454254150391,-2.060117244720459,114.60472106933594,0.13107614942543985,2.4419447132005363,0.0890398113433195,-0.4747132413303739
PedNYC10,10,16,PedNYC10_scenario16,4.274536,-10.179932,8.146185874938965,47.29813766479492,-1.9585850238800049,114.59339904785156,0.1336407360841816,2.4193709841465263,0.054052305969150644,-0.490646709157776
PedNYC10,10,16,PedNYC10_scenario16,4.317993,-10.136475,8.146523475646973,47.291412353515625,-1.855366826057434,114.5807113647461,0.13482617407262718,2.397244360616268,0.03489540146657356,-0.5137739103037297
PedNYC10,10,16,PedNYC10_scenario16,4.360352,-10.094116,8.14728832244873,47.28569030761719,-1.7554543018341064,114.56724548339844,0.13149239557865308,2.374323720907437,0.00885309663680585,-0.521749049356484
