participant_id,recording_identifier,scenario,progress_percent,ped_x,ped_z,veh_x,veh_z,mean_x,mean_z,deviation_m
PedNYC10,PedNYC10_scenario16,16,20.0,8.321030408635378,48.12232342563113,2.5557766286768864,59.64239754933766,8.692101713379852,48.874705264868844,0.8389114048691263
PedNYC10,PedNYC10_scenario16,16,21.0,8.322240007449324,48.161197238884974,2.548897439247057,59.12339700510263,8.715699630603803,48.9636907632958,0.8937596610801902
PedNYC10,PedNYC10_scenario16,16,22.0,8.326390409100895,48.21255386950113,2.541878086570696,58.593821842742344,8.73937574126347,49.05364667271756,0.937013334058758
PedNYC10,PedNYC10_scenario16,16,23.0,8.33184895972469,48.26093139407368,2.534856477063549,58.064076413751366,8.762786284210575,49.14462929967588,0.9831729074790271
PedNYC10,PedNYC10_scenario16,16,24.0,8.337620730286535,48.30331217212183,2.527903171491572,57.539484176119366,8.787457600991774,49.234211765577356,1.033889386414983
PedNYC10,PedNYC10_scenario16,16,25.0,8.344294126019944,48.34514315551584,2.5210570849088354,57.022981076653416,8.80963472624041,49.3203619978879,1.0805524812479224
PedNYC10,PedNYC10_scenario16,16,26.0,8.3512842034713,48.384822942898474,2.5141464117330496,56.50160524075754,8.830494618648153,49.41215756865361,1.133604452747704
PedNYC10,PedNYC10_scenario16,16,27.0,8.362413283627337,48.43769331761613,2.5074985541811188,56.00005753333604,8.852867942562721,49.503294106501905,1.1730519228684673
PedNYC10,PedNYC10_scenario16,16,28.0,8.374699776217863,48.49063970797666,2.5016026946271204,55.55524432554881,8.880057278956247,49.594827257857375,1.2143378240364369
PedNYC10,PedNYC10_scenario16,16,29.0,8.387882108835194,48.54403257588264,2.4947528970676878,55.038461251393315,8.90732566143136,49.683025416012086,1.2518491499377506
PedNYC10,PedNYC10_scenario16,16,30.0,8.401886748155809,48.60158945150496,2.4877140960087396,54.50741880553254,8.935532015426885,49.784470911755335,1.2976847923455395
PedNYC10,PedNYC10_scenario16,16,31.0,8.414601330988834,48.659417876101266,2.480571099813168,53.96851535610934,8.96270635675141,49.88481042283322,1.3423881751760243
PedNYC10,PedNYC10_scenario16,16,32.0,8.42379029798958,48.70422425683202,2.473448194223566,53.43112764273894,8.99176760074158,49.97934643168164,1.3958992718798386
PedNYC10,PedNYC10_scenario16,16,33.0,8.43350677435046,48.760253093104836,2.4664991811848114,52.90685925533689,9.01959071810672,50.08259589581892,1.4464041195387358
PedNYC10,PedNYC10_scenario16,16,34.0,8.44141772145048,48.8113700017805,2.459387233429309,52.3702982559157,9.044535688536593,50.180359240023144,1.4959554861847502
PedNYC10,PedNYC10_scenario16,16,35.0,8.448351674223522,48.86286818894466,2.4523070149844006,51.83613107478294,9.071201477195148,50.27496756112552,1.54336208129375
PedNYC10,PedNYC10_scenario16,16,36.0,8.453777156876928,48.90950226726908,2.4452003645920897,51.29996973500293,9.097207567555095,50.370750786654945,1.596637068589117
PedNYC10,PedNYC10_scenario16,16,37.0,8.458699926714536,48.96769470438584,2.4382939999505298,50.77891895653297,9.118482700380605,50.45811352180001,1.62992685717143
PedNYC10,PedNYC10_scenario16,16,38.0,8.462066589851204,49.017921198454935,2.4311620869200024,50.24085167665396,9.139079893719265,50.55192373755504,1.6767560357964792
PedNYC10,PedNYC10_scenario16,16,39.0,8.464470449150758,49.065490963426676,2.4241155498758253,49.70922558927773,9.16316175236611,50.65371086392529,1.7351115207757097
