"pednyc","scenario","source_path","destination_path","file_size_bytes","copy_status"
"PedNYC3","102","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC3\CSV_Scenario-Ped-102_Session-temp_2024-02-23-14-40-02_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc3\scenario102\decoded_clean_PedNYC3_scenario102.csv","14367061","copied"
"PedNYC3","103","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC3\CSV_Scenario-Ped-103_Session-temp_2024-02-23-14-46-30_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc3\scenario103\decoded_clean_PedNYC3_scenario103.csv","17929264","copied"
"PedNYC3","104","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC3\CSV_Scenario-Ped-104_Session-temp_2024-02-23-15-09-25_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc3\scenario104\decoded_clean_PedNYC3_scenario104.csv","13413765","copied"
"PedNYC3","105","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC3\CSV_Scenario-Ped-105_Session-temp_2024-02-23-14-36-31_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc3\scenario105\decoded_clean_PedNYC3_scenario105.csv","14121063","copied"
"PedNYC3","106","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC3\CSV_Scenario-Ped-106_Session-temp_2024-02-23-14-43-24_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc3\scenario106\decoded_clean_PedNYC3_scenario106.csv","16504170","copied"
"PedNYC3","12","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC3\CSV_Scenario-Ped-12_Session-temp_2024-02-23-15-03-16_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc3\scenario12\decoded_clean_PedNYC3_scenario12.csv","11179368","copied"
"PedNYC3","15","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC3\CSV_Scenario-Ped-15_Session-temp_2024-02-23-15-16-06_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc3\scenario15\decoded_clean_PedNYC3_scenario15.csv","13433444","copied"
"PedNYC3","16","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC3\CSV_Scenario-Ped-16_Session-temp_2024-02-23-14-33-15_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc3\scenario16\decoded_clean_PedNYC3_scenario16.csv","12116383","copied"
"PedNYC3","21","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC3\CSV_Scenario-Ped-21_Session-temp_2024-02-23-14-59-10_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc3\scenario21\decoded_clean_PedNYC3_scenario21.csv","16246681","copied"
"PedNYC3","3","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC3\CSV_Scenario-Ped-3_Session-temp_2024-02-23-15-06-10_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc3\scenario3\decoded_clean_PedNYC3_scenario3.csv","13936853","copied"
"PedNYC3","7","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC3\CSV_Scenario-Ped-7_Session-temp_2024-02-23-15-13-27_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc3\scenario7\decoded_clean_PedNYC3_scenario7.csv","14101231","copied"
