recording_identifier,scenario_number,aligned_time,interpolated_speed
PedNYC15_scenario12,12,6.799999999999958,0.5009002406884566
PedNYC15_scenario12,12,6.899999999999958,0.6245425442020365
PedNYC15_scenario12,12,6.999999999999957,0.7199879245548674
PedNYC15_scenario12,12,7.099999999999957,0.7923873707566257
PedNYC15_scenario12,12,7.199999999999957,0.8384807513112704
PedNYC15_scenario12,12,7.299999999999956,0.8319888329804602
PedNYC15_scenario12,12,7.399999999999956,0.8606929594503492
PedNYC15_scenario12,12,7.499999999999956,0.8817469526677895
PedNYC15_scenario12,12,7.599999999999955,0.9154990035978959
PedNYC15_scenario12,12,7.699999999999955,0.9789648822845131
PedNYC15_scenario12,12,7.7999999999999545,1.0190703504633465
PedNYC15_scenario12,12,7.899999999999954,1.0274144464436807
PedNYC15_scenario12,12,7.999999999999954,1.0484534112326207
PedNYC15_scenario12,12,8.099999999999953,1.066338903671988
PedNYC15_scenario12,12,8.199999999999953,1.0661428769575054
PedNYC15_scenario12,12,8.299999999999953,1.1280209688957301
PedNYC15_scenario12,12,8.399999999999952,1.145215064759607
PedNYC15_scenario12,12,8.499999999999952,1.1529032991883688
PedNYC15_scenario12,12,8.599999999999952,1.1633971432837387
PedNYC15_scenario12,12,8.699999999999951,1.1141240849347664
PedNYC15_scenario12,12,8.799999999999951,1.1425323702269903
PedNYC15_scenario12,12,8.89999999999995,1.2102718971135553
PedNYC15_scenario12,12,8.99999999999995,1.2394045768490436
PedNYC15_scenario12,12,9.09999999999995,1.2694970675214254
PedNYC15_scenario12,12,9.19999999999995,1.2363219330957338
PedNYC15_scenario12,12,9.29999999999995,1.2175990326713764
PedNYC15_scenario12,12,9.399999999999949,1.2442708149945765
PedNYC15_scenario12,12,9.499999999999948,1.2958630985787434
PedNYC15_scenario12,12,9.599999999999948,1.313145059724657
PedNYC15_scenario12,12,9.699999999999948,1.3309869026929404
PedNYC15_scenario12,12,9.799999999999947,1.2971747250526804
PedNYC15_scenario12,12,9.899999999999947,1.314737563886548
PedNYC15_scenario12,12,9.999999999999947,1.3476055676635947
PedNYC15_scenario12,12,10.099999999999946,1.3052180353964
PedNYC15_scenario12,12,10.199999999999946,1.235527894829827
PedNYC15_scenario12,12,10.299999999999946,1.2986362597076118
PedNYC15_scenario12,12,10.399999999999945,1.295288215477273
PedNYC15_scenario12,12,10.499999999999945,1.2061788246122322
PedNYC15_scenario12,12,10.599999999999945,1.3970372090707703
PedNYC15_scenario12,12,10.699999999999944,1.3496354315840835
PedNYC15_scenario12,12,10.799999999999944,1.2539100350885792
PedNYC15_scenario12,12,10.899999999999944,1.2766453454980597
PedNYC15_scenario12,12,10.999999999999943,1.2237115052540122
PedNYC15_scenario12,12,11.099999999999945,1.2441205458272333
PedNYC15_scenario12,12,11.199999999999942,1.3001906669190884
PedNYC15_scenario12,12,11.29999999999994,1.2248352253591555
PedNYC15_scenario12,12,11.399999999999942,1.2286040776515312
PedNYC15_scenario12,12,11.499999999999943,1.2247672094404205
PedNYC15_scenario12,12,11.599999999999941,1.2697027685548608
PedNYC15_scenario12,12,11.699999999999939,1.249340818641311
PedNYC15_scenario12,12,11.79999999999994,1.1849524181168418
PedNYC15_scenario12,12,11.899999999999942,1.2128267827558836
PedNYC15_scenario12,12,11.99999999999994,1.0860872239025865
PedNYC15_scenario12,12,12.099999999999937,1.300832461927435
PedNYC15_scenario12,12,12.199999999999939,1.330954678703716
PedNYC15_scenario12,12,12.29999999999994,1.2088728492352954
PedNYC15_scenario12,12,12.399999999999938,1.0205315652860976
PedNYC15_scenario12,12,12.499999999999936,0.6728912379998793
PedNYC15_scenario12,12,12.599999999999937,1.0377762167668974
PedNYC15_scenario12,12,12.699999999999939,1.2557416540360578
PedNYC15_scenario12,12,12.799999999999937,1.610182795529011
PedNYC15_scenario12,12,12.899999999999935,1.7851191162939997
PedNYC15_scenario12,12,12.999999999999936,1.3798054592469295
PedNYC15_scenario12,12,13.099999999999937,0.9929287405988881
PedNYC15_scenario12,12,13.199999999999935,1.186860848813005
PedNYC15_scenario12,12,13.299999999999933,1.0753141429349424
PedNYC15_scenario12,12,13.399999999999935,1.108225122069757
PedNYC15_scenario12,12,13.499999999999936,1.4642431992737233
PedNYC15_scenario12,12,13.599999999999934,1.225430449538196
PedNYC15_scenario12,12,13.699999999999932,1.312085301921059
PedNYC15_scenario12,12,13.799999999999933,1.409596442707982
PedNYC15_scenario12,12,13.899999999999935,1.3860098839655024
PedNYC15_scenario12,12,13.999999999999932,1.3148373240337539
PedNYC15_scenario12,12,14.09999999999993,1.2575827306044403
PedNYC15_scenario12,12,14.199999999999932,1.162830003908198
PedNYC15_scenario12,12,14.299999999999933,1.0763495839608308
PedNYC15_scenario12,12,14.399999999999931,0.9950950763452372
PedNYC15_scenario12,12,14.499999999999929,0.963325630440466
PedNYC15_scenario12,12,14.59999999999993,0.942741052007607
PedNYC15_scenario12,12,14.699999999999932,0.9516087261444229
PedNYC15_scenario12,12,14.79999999999993,1.0298974438705215
PedNYC15_scenario12,12,14.899999999999928,0.9909229597902629
PedNYC15_scenario12,12,14.999999999999929,0.9148714391560433
PedNYC15_scenario12,12,15.09999999999993,0.7079924654429292
PedNYC15_scenario12,12,15.199999999999928,0.546376685947531
PedNYC15_scenario12,12,15.299999999999926,0.448014974791216
